,province,date
161,Chungcheongnam-do_Cdate,48
162,Chungcheongnam-do_Cdate,3
163,Chungcheongnam-do_Cdate,5
164,Chungcheongnam-do_Cdate,1
165,Chungcheongnam-do_Cdate,0
166,Chungcheongnam-do_Cdate,1
167,Chungcheongnam-do_Cdate,8
168,Chungcheongnam-do_Cdate,11
169,Chungcheongnam-do_Cdate,4
170,Chungcheongnam-do_Cdate,0
171,Chungcheongnam-do_Cdate,2
172,Chungcheongnam-do_Cdate,6
173,Chungcheongnam-do_Cdate,10
174,Chungcheongnam-do_Cdate,5
175,Chungcheongnam-do_Cdate,2
176,Chungcheongnam-do_Cdate,1
177,Chungcheongnam-do_Cdate,1
178,Chungcheongnam-do_Cdate,5
179,Chungcheongnam-do_Cdate,5
180,Chungcheongnam-do_Cdate,1
181,Chungcheongnam-do_Cdate,3
182,Chungcheongnam-do_Cdate,4
183,Chungcheongnam-do_Cdate,2
184,Chungcheongnam-do_Cdate,4
185,Chungcheongnam-do_Cdate,8
186,Chungcheongnam-do_Cdate,0
187,Chungcheongnam-do_Cdate,7
188,Chungcheongnam-do_Cdate,1
189,Chungcheongnam-do_Cdate,3
190,Chungcheongnam-do_Rdate,44
191,Chungcheongnam-do_Rdate,20
192,Chungcheongnam-do_Rdate,22
193,Chungcheongnam-do_Rdate,26
194,Chungcheongnam-do_Rdate,20
195,Chungcheongnam-do_Rdate,21
196,Chungcheongnam-do_Rdate,7
197,Chungcheongnam-do_Rdate,38
198,Chungcheongnam-do_Rdate,43
199,Chungcheongnam-do_Rdate,29
200,Chungcheongnam-do_Rdate,19
201,Chungcheongnam-do_Rdate,17
202,Chungcheongnam-do_Rdate,19
203,Chungcheongnam-do_Rdate,19
204,Chungcheongnam-do_Rdate,14
205,Chungcheongnam-do_Rdate,42
206,Chungcheongnam-do_Rdate,23
207,Chungcheongnam-do_Rdate,17
208,Chungcheongnam-do_Rdate,9
209,Chungcheongnam-do_Rdate,12
210,Chungcheongnam-do_Rdate,11
211,Chungcheongnam-do_Rdate,20
212,Chungcheongnam-do_Rdate,33
213,Chungcheongnam-do_Rdate,15
214,Chungcheongnam-do_Rdate,46
215,Chungcheongnam-do_Rdate,18
216,Chungcheongnam-do_Rdate,14
217,Chungcheongnam-do_Rdate,42
218,Chungcheongnam-do_Rdate,25
219,Chungcheongnam-do_Rdate,26
220,Chungcheongnam-do_Rdate,31
221,Chungcheongnam-do_Rdate,4
222,Chungcheongnam-do_Rdate,44
223,Chungcheongnam-do_Rdate,19
224,Chungcheongnam-do_Rdate,27
225,Chungcheongnam-do_Rdate,32
226,Chungcheongnam-do_Rdate,17
227,Chungcheongnam-do_Rdate,28
228,Chungcheongnam-do_Rdate,71
229,Chungcheongnam-do_Rdate,29
230,Chungcheongnam-do_Rdate,22
231,Chungcheongnam-do_Rdate,9
232,Chungcheongnam-do_Rdate,10
233,Chungcheongnam-do_Rdate,24
234,Chungcheongnam-do_Rdate,7
235,Chungcheongnam-do_Rdate,27
236,Chungcheongnam-do_Rdate,23
237,Chungcheongnam-do_Rdate,25
238,Chungcheongnam-do_Rdate,19
239,Chungcheongnam-do_Rdate,16
240,Chungcheongnam-do_Rdate,20
241,Chungcheongnam-do_Rdate,25
242,Chungcheongnam-do_Rdate,34
243,Chungcheongnam-do_Rdate,19
244,Chungcheongnam-do_Rdate,28
245,Chungcheongnam-do_Rdate,51
246,Chungcheongnam-do_Rdate,50
247,Chungcheongnam-do_Rdate,26
248,Chungcheongnam-do_Rdate,32
249,Chungcheongnam-do_Rdate,29
250,Chungcheongnam-do_Rdate,25
251,Chungcheongnam-do_Rdate,30
252,Chungcheongnam-do_Rdate,21
253,Chungcheongnam-do_Rdate,24
254,Chungcheongnam-do_Rdate,19
255,Chungcheongnam-do_Rdate,34
256,Chungcheongnam-do_Rdate,17
257,Chungcheongnam-do_Rdate,26
258,Chungcheongnam-do_Rdate,38
259,Chungcheongnam-do_Rdate,19
260,Chungcheongnam-do_Rdate,19
261,Chungcheongnam-do_Rdate,43
262,Chungcheongnam-do_Rdate,24
263,Chungcheongnam-do_Rdate,18
264,Chungcheongnam-do_Rdate,49
265,Chungcheongnam-do_Rdate,13
266,Chungcheongnam-do_Rdate,43
267,Chungcheongnam-do_Rdate,11
268,Chungcheongnam-do_Rdate,11
269,Chungcheongnam-do_Rdate,27
270,Chungcheongnam-do_Rdate,23
271,Chungcheongnam-do_Rdate,32
272,Chungcheongnam-do_Rdate,30
273,Chungcheongnam-do_Rdate,69
274,Chungcheongnam-do_Rdate,38
275,Chungcheongnam-do_Rdate,23
276,Chungcheongnam-do_Rdate,25
277,Chungcheongnam-do_Rdate,19
278,Chungcheongnam-do_Rdate,13
279,Chungcheongnam-do_Rdate,35
280,Chungcheongnam-do_Rdate,35
281,Chungcheongnam-do_Rdate,37
282,Chungcheongnam-do_Rdate,16
283,Chungcheongnam-do_Rdate,12
284,Chungcheongnam-do_Rdate,17
285,Chungcheongnam-do_Rdate,44
286,Chungcheongnam-do_Rdate,20
287,Chungcheongnam-do_Rdate,24
288,Chungcheongnam-do_Rdate,29
289,Chungcheongnam-do_Rdate,18
290,Chungcheongnam-do_Rdate,18
291,Chungcheongnam-do_Rdate,12
292,Chungcheongnam-do_Rdate,15
293,Chungcheongnam-do_Rdate,18
294,Chungcheongnam-do_Rdate,18
295,Chungcheongnam-do_Rdate,67
296,Chungcheongnam-do_Rdate,9
297,Chungcheongnam-do_Rdate,18
298,Chungcheongnam-do_Rdate,21
299,Chungcheongnam-do_Rdate,25
300,Chungcheongnam-do_Rdate,21
301,Chungcheongnam-do_Rdate,19
302,Chungcheongnam-do_Rdate,16
303,Chungcheongnam-do_Rdate,17
304,Chungcheongnam-do_Rdate,22
305,Chungcheongnam-do_Rdate,39
306,Chungcheongnam-do_Rdate,15
307,Chungcheongnam-do_Rdate,51
308,Chungcheongnam-do_Rdate,24
309,Chungcheongnam-do_Rdate,23
310,Chungcheongnam-do_Rdate,14
311,Chungcheongnam-do_Rdate,16
312,Chungcheongnam-do_Rdate,16
313,Chungcheongnam-do_Rdate,27
314,Chungcheongnam-do_Rdate,15
315,Chungcheongnam-do_Rdate,19
316,Chungcheongnam-do_Rdate,19
317,Chungcheongnam-do_Rdate,20
318,Chungcheongnam-do_Rdate,22
319,Chungcheongnam-do_Rdate,17
320,Chungcheongnam-do_Rdate,17
321,Chungcheongnam-do_Rdate,23
322,Chungcheongnam-do_Rdate,11
323,Chungcheongnam-do_Rdate,23
324,Chungcheongnam-do_Rdate,23
325,Chungcheongnam-do_Rdate,17
326,Chungcheongnam-do_Rdate,23
327,Chungcheongnam-do_Rdate,17
328,Chungcheongnam-do_Rdate,22
329,Chungcheongnam-do_Rdate,19
330,Chungcheongnam-do_Rdate,15
331,Chungcheongnam-do_Rdate,26
332,Chungcheongnam-do_Rdate,19
333,Chungcheongnam-do_Rdate,25
334,Chungcheongnam-do_Rdate,21
335,Chungcheongnam-do_Rdate,30
336,Chungcheongnam-do_Rdate,24
337,Chungcheongnam-do_Rdate,10
338,Chungcheongnam-do_Rdate,21
339,Chungcheongnam-do_Rdate,14
340,Daegu_Cdate,2
341,Daegu_Cdate,9
342,Daegu_Cdate,5
343,Daegu_Cdate,3
344,Daegu_Cdate,13
345,Daegu_Cdate,7
346,Daegu_Cdate,8
347,Daegu_Rdate,9
348,Daegu_Rdate,12
349,Daegu_Rdate,7
350,Daegu_Rdate,8
351,Daejeon_Cdate,4
352,Daejeon_Cdate,2
353,Daejeon_Cdate,2
354,Daejeon_Cdate,2
355,Daejeon_Cdate,3
356,Daejeon_Cdate,5
357,Daejeon_Cdate,5
358,Daejeon_Cdate,9
359,Daejeon_Cdate,7
360,Daejeon_Cdate,3
361,Daejeon_Cdate,3
362,Daejeon_Cdate,6
363,Daejeon_Cdate,7
364,Daejeon_Cdate,5
365,Daejeon_Cdate,7
366,Daejeon_Cdate,8
367,Daejeon_Cdate,8
368,Daejeon_Cdate,2
369,Daejeon_Cdate,8
370,Daejeon_Cdate,4
371,Daejeon_Cdate,9
372,Daejeon_Cdate,3
373,Daejeon_Cdate,7
374,Daejeon_Cdate,6
375,Daejeon_Cdate,8
376,Daejeon_Cdate,10
377,Daejeon_Cdate,11
378,Daejeon_Cdate,10
379,Daejeon_Cdate,15
380,Daejeon_Cdate,2
381,Daejeon_Cdate,2
382,Daejeon_Cdate,11
383,Daejeon_Cdate,2
384,Daejeon_Cdate,5
385,Daejeon_Cdate,4
386,Daejeon_Cdate,3
387,Daejeon_Cdate,4
388,Daejeon_Cdate,13
389,Daejeon_Cdate,8
390,Daejeon_Rdate,16
391,Daejeon_Rdate,29
392,Daejeon_Rdate,29
393,Daejeon_Rdate,24
394,Daejeon_Rdate,29
395,Daejeon_Rdate,30
396,Daejeon_Rdate,7
397,Daejeon_Rdate,20
398,Daejeon_Rdate,72
399,Daejeon_Rdate,35
400,Daejeon_Rdate,12
401,Daejeon_Rdate,22
402,Daejeon_Rdate,22
403,Daejeon_Rdate,16
404,Daejeon_Rdate,5
405,Daejeon_Rdate,12
406,Daejeon_Rdate,13
407,Daejeon_Rdate,40
